,name,desc,class,link
361,Embroidered Round Neck Viscose Blend Women's Kurta Pant Dupatta Set,Be the showstopper in this stunning kurta trouser dupatta set for women from Kashish with exquisitely patterned yoke embroidery on the front of the kurta. The slight sheen ups the glamor quotient of this gorgeous set., Pack of 3  India  Embroidered  Kurta Trouser Dupatta Set  3/4   Viscose Blend Neckline Round Neck  Calf   Festive Wear  Straight  Woven Dupatta Yes,https://www.shoppersstop.com/kashish-embroidered-round-neck-viscose-blend-women-s-kurta-pant-dupatta-set/p-AW22KSSE59F/colorChange/AW22KSSE59F_ORANGE?currentPosition=12&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
362,Solid Silk Blend Round Neck Womens Kurta,"Grey straight kurta set with tonal pant and dupatta, round neckline, gota and sequence work on kurta yoke and pant, three quarter sleeve with gota detailing,",Waist Rise Mid Rise Pockets No Pocket  Single Sleeve Style Designer  Closure Type Elasticated Wash Mid Wash  India  Kurtas  Silk Blend  Woven Neckline Round Neck  Festive Wear  3/4   Regular Dupatta Yes  Regular  Women Collar Regular Collar  Solid Hemline Straight,https://www.shoppersstop.com/varanga-solid-silk-blend-round-neck-womens-kurta/p-VSKD2164VNDU234/colorChange/VSKD2164VNDU234_GREY?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
363,Full Length Cotton Woven Womens Dupatta,Stop Full  Solid Dupatta For All s, India  Dupattas  Cotton  Woven  Solid  All s  Full ,https://www.shoppersstop.com/stop-full-length-cotton-woven-womens-dupatta/p-A21STDU6C/colorChange/A21STDU6C_RED?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
364,Janasya Women's Peach Poly Crepe Solid Kurta with Pant and Dupatta,"Adorn this beautiful kurta set by Janaysa in classic peach color. Crafted from poly crepe, this solid sleeveless straight kurta and pant comes with delicate net dupatta which has floral print and lace border accentuating beauty of this kurta set. Team this kurta set with statement earrings and kitten heels.", Single  India Sleeve  Sleeveless  Solid Wash Light Wash  Kurta Pant Dupatta Set  Sleeveless  Crepe Neckline Round Neck Silouhette Regular  Regular  Casual Wear  Straight  Woven Dupatta Yes  Women Waist Rise High Rise Closure Type Elasticated,https://www.shoppersstop.com/janasya-janasya-women-s-peach-poly-crepe-solid-kurta-with-pant-and-dupatta/p-S22JASET392/colorChange/S22JASET392_PEACH?currentPosition=15&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
365,Solid Chiffon Round Neck Womens Maxi Dress,"Myshka comes with its trendy dynamic fitting women dress.Made of Premium fabric, these dresses provided comfort during normal and low temperatures and also will help you stay relaxed all day long. The product material is also sure to keep you comfortable. Look classy and stylish in this piece and revel in the comfort of the fabric. This dress is comfortable to wear and will make you look stunning. Made of Premium fabric, these dresses provided comfort during normal and low temperatures and also will help you stay relaxed all day long", Single Sleeve Style Long  Wash Light Wash Closure Type Dori  India  Maxi Dress  Chiffon Neckline Round Neck  Casual Wear  Short   Regular  Solid  Regular  Knit Dupatta No  Women Collar Regular Collar Waist Rise Mid Rise,https://www.shoppersstop.com/myshka-solid-chiffon-round-neck-womens-maxi-dress/p-DMSDRS867/colorChange/DMSDRS867_PINK?currentPosition=16&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
366,Solid V Neck Regular Women's Tunics & Tops,Haute Curry Hip  Solid Tunics & Tops With Short  For Casual Wear, India  Solid  Tunic  Cotton  Woven Silouhette Regular Neckline V Neck  Casual Wear  Short   Women,https://www.shoppersstop.com/haute-curry-solid-v-neck-regular-women-s-tunics-tops/p-AW21HCKT106F/colorChange/AW21HCKT106F_PEACH?currentPosition=17&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
367,Women's Solid Knee Length Casual Wear Straight Kurta,"Contemporary in looks, the Women's Solid Knee  Casual Wear Straight Kurta is ideal to give your ethnic wardrobe a much-needed makeover. This women’s kurta is designed in an alluring navy hue and features a stunning solid pattern and an attractive mandarin collar. Made from cotton flex, this women’s kurta features a regular shape for ease of wear throughout the day. Complete your look with a pair of strappy sandals, minimalistic earrings, and a stylish clutch.", India  Kurta  Cotton Flex  Woven Silouhette Straight  Neckline Mandarin  Festive Wear  Regular   Knee   Regular  Women  Solid,https://www.shoppersstop.com/stop-women-s-solid-knee-length-casual-wear-straight-kurta/p-A20STKU504CF/colorChange/A20STKU504CF_NAVY?currentPosition=18&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
368,Embroidered Viscose Blend Round Neck Women's A-Line Kurta,Kashish Calf  Embroidered A-Line Festive Kurta With 3/4th , India  Kurtas  Viscose Blend  Woven Type of work Embroidered Silouhette A-Line Neckline Round Neck  Festive Wear  3/4   Calf   Embroidered,https://www.shoppersstop.com/kashish-embroidered-viscose-blend-round-neck-women-s-a-line-kurta/p-AW21KSKU337F/colorChange/AW21KSKU337F_MAGENTA?currentPosition=19&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
369,Embroidered Viscose Blend Round Neck Women's Straight Fit Kurta,Kashish Calf  Embroidered Straight Festive Kurta With 3/4th , India  Kurta  Viscose Blend  Woven Silouhette Straight  Neckline Round Neck  Festive Wear  3/4th   Calf   Straight  Embroidered,https://www.shoppersstop.com/kashish-embroidered-viscose-blend-round-neck-women-s-straight-fit-kurta/p-AW21KSKU334F/colorChange/AW21KSKU334F_GOLD?currentPosition=20&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
370,Printed Mandarin Collar Straight Fit Women's Kurta,Stop Knee  Printed Straight Kurta With 3/4Th  And Mandarin Collar For Casual Wear, India  Kurtas  Cotton  Woven Silouhette Straight Neckline Mandarin  Casual Wear  3/4   Knee   Regular Collar Cut Away  Printed,https://www.shoppersstop.com/stop-printed-mandarin-collar-straight-fit-women-s-kurta/p-A21STEPP51/colorChange/A21STEPP51_BLUE?currentPosition=21&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
