,name,desc,class,link
1331,Solid Cotton Regular Mens T-Shirt,"White, cotton, regular fit t-shirt by Stop. This t-shirt has a mandarin collar, button down detail at the front, and is the perfect basic t-shirt in your closet.", India  Half   Regular Neckline Mandarin  Solid  Cotton  Single  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/stop-solid-cotton-regular-mens-t-shirt/p-S23STCMANDPLWHC/colorChange/S23STCMANDPLWHC_WHITE?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1332,Printed Cotton Blend Men's Occasion Wear Kurta Set,., India  Regular Collar Mandarin Collar  Full  Stretch Non-Stretch  Cotton Blend   Wear  Printed  Regular Closure Type Drawstring,https://www.shoppersstop.com/hangup-printed-cotton-blend-men-s-occasion-wear-kurta-set/p-A21HGK91N12BASK/colorChange/A21HGK91N12BASK_WHITE?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1333,Printed Cotton Skinny Fit Men's T-Shirt,., India  Half   Skinny Neckline Round Neck  Printed  Cotton  Single  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/pepe-printed-cotton-skinny-fit-men-s-t-shirt/p-S23SPARKSSIPBLU/colorChange/S23SPARKSSIPBLU_BLUE?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1334,Solid Polyster Regular Fit Men's Open Sweatshirt,., India  Polyster  Solid  Open Sweatshirt  Full  Neckline Turtle Neck  Regular  Active Wear  Mens,https://www.shoppersstop.com/altlife-solid-polyster-regular-fit-men-s-open-sweatshirt/p-A21ALTSVGW005W/colorChange/A21ALTSVGW005W_WINE?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1335,Graphic Cotton Regular Fit Men's T-Shirt,"This summer, wrap yourself in something trendy and comfortable. The regular-fit Cotton Graphic t-shirts fit you like a glove and give you an elegant look. The material is comfortable and easy to breathe in.", India  Half   Regular  Graphic  Cotton  Single  Regular  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/infuse-graphic-cotton-regular-fit-men-s-t-shirt/p-A22INFMT1103/colorChange/A22INFMT1103_NAVY?currentPosition=11&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1336,Printed Round Neck Slim Fit Men's Casual Shirt,"Always be trendy in this sophisticated rust shirt by Fratini. Indo western print creates a fashion-forward fusion look elevated by the intricate motif work all over the body. The fabric is soft, durable modal, so it is comfortable. Pair it with Navy Blue denim and white loafers to stand out.", Shirts  India  Modal Collar Regular Collar  Full   Slim  Printed  Single  Casual Wear  Mens,https://www.shoppersstop.com/fratini-printed-round-neck-slim-fit-men-s-casual-shirt/p-S22FSSHRKMP5RU/colorChange/S22FSSHRKMP5RU_RUST?currentPosition=12&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1337,Printed Cotton Regular Fit Men's T-Shirt,., India  Half   Regular Neckline Polo  Printed  Cotton  1  Casual Wear Collar Regular Collar  T-Shirts  Knit,https://www.shoppersstop.com/fratini-printed-cotton-regular-fit-men-s-t-shirt/p-S23VFAOPDP20A/colorChange/S23VFAOPDP20A_DUSTY_PEACH?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1338,Jacquard Cotton Blend Regular Fit Men's T-Shirt,Look stylish and sober pastel-hued cotton blend regular fit t-shirt in a jacquard pattern from Stop. This outstanding piece with a crew neck instantly amps up your fashion., India  Half   Regular Neckline Crew  Jacquard  Cotton Blend  Pack of 1  Casual Wear Collar Regular Collar  T-Shirts  Knit,https://www.shoppersstop.com/stop-jacquard-cotton-blend-regular-fit-men-s-t-shirt/p-A22STJQ01CTGN/colorChange/A22STJQ01CTGN_GREEN-NEPTUNE?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1339,Solid Cotton Slim Fit Men's Casual Wear Shirt,., Shirts  India  Cotton Collar Cut Away Collar  Full   Slim  Solid  Single  Casual Wear  Neckline Round Neck,https://www.shoppersstop.com/u-s-polo-assn-denim-solid-cotton-slim-fit-men-s-casual-wear-shirt/p-A22UDSHT0475/colorChange/A22UDSHT0475_BLACK?currentPosition=15&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1340,Printed Terrylene Rayon Slim Fit Men's Trousers,"Blue, textured, terrylene rayon, slim fit trousers by Stop. The trousers have an asymmetrical button closure at the waist, zipper closure, and pockets at the front and back. This is a staple in your closet and it can be paired with any colour of your liking.", Trousers  India  Terrylene Rayon  Printed Waist Rise Mid Rise  Slim Closure Type Button Pleat Non pleated  Regular  Single  Work Wear  Knit,https://www.shoppersstop.com/stop-printed-terrylene-rayon-slim-fit-men-s-trousers/p-S23STTRKTR13BU/colorChange/S23STTRKTR13BU_BLUE?currentPosition=16&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1341,Mid Wash Cotton Blend Tapered Fit Men's Jeans,Opt for a pair of jeans from Life for long-lasting comfort. Pair them with comfy trainers and a light jacket when you're up for a stroll around town., India Wash Mid Wash Waist Rise Mid Rise  Tapered  Cotton Blend Closure Type Button  Regular  Casual Wear  Solid  Jeans,https://www.shoppersstop.com/life-mid-wash-cotton-blend-tapered-fit-men-s-jeans/p-AW22ROCKSTAR/colorChange/AW22ROCKSTAR_TINT?currentPosition=17&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1342,Solid Cotton Slim Fit Men's T-Shirt,., India Category T-Shirt  Full   Slim  Neckline Round Neck  Solid  Cotton  Single  Casual Wear  Mens,https://www.shoppersstop.com/rigo-solid-cotton-slim-fit-men-s-t-shirt/p-A21MSHCT1062RL/colorChange/A21MSHCT1062RL_BLACK?currentPosition=18&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1343,Checks Cotton Poly Spandex Slim Fit Men's Casual Shirt,Update your look with this Green Check Slim  shirt from Allen Solly by Allen Solly and enjoy the attention., Woven Closure Type Button Wash Light Wash  Shirts  India  Cotton Poly Spandex Collar Cut Away Collar  Full   Slim  Checks  Single  Casual Wear  Above Knee Neckline Collared,https://www.shoppersstop.com/allen-solly-checks-cotton-poly-spandex-slim-fit-men-s-casual-shirt/p-S23SFMMOFU02113/colorChange/S23SFMMOFU02113_GREEN?currentPosition=19&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1344,Printed Viscose Regular Fit Men's Casual Shirt,., Shirts  India  Viscose Collar Regular Collar  Half   Regular  Printed  Single  Casual Wear ,https://www.shoppersstop.com/jack-and-jones-printed-viscose-regular-fit-men-s-casual-shirt/p-S23JJ298237101/colorChange/S23JJ298237101_BLACK?currentPosition=20&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1345,Printed Viscose Regular Fit Men's Casual Shirt,., Shirts  India  Viscose Collar Regular Collar  Half   Regular  Printed  Single  Casual Wear ,https://www.shoppersstop.com/jack-and-jones-printed-viscose-regular-fit-men-s-casual-shirt/p-S23JJ293302001/colorChange/S23JJ293302001_BROWN?currentPosition=21&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1346,Printed Cotton Slim Fit Men's Formal Shirt,., India  Cotton Collar Regular Pockets Chest Pocket  Full   Slim  Solid  Pack of 1  Work Wear,https://www.shoppersstop.com/stop-printed-cotton-slim-fit-men-s-formal-shirt/p-S21182FAGAP15LG/colorChange/S21182FAGAP15LG_GREEN?currentPosition=22&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
1347,Solid Cotton Linen Blend Regular Fit Men's T-Shirt,., India  Half   Regular Neckline Henley  Solid  Cotton Linen Blend  Pack of 1,https://www.shoppersstop.com/fratini-solid-cotton-linen-blend-regular-fit-men-s-t-shirt/p-S21831HENLY6PI/colorChange/S21831HENLY6PI_DUSTY_PINK?currentPosition=23&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D69&totalResultVal=24600&searchPageType=category
