,name,desc,class,link
20,Printed Polyester Sweetheart Neck Women's Maxi Dress,"Put an elegant look by wearing this unique western wear collection from the house of Zink London. Made to accentuate any body type, it will give you that extra oomph and make you stand out wherever you go wearing this. The product material is also sure to keep you comfortable throughout the day. Club it with minimal fashion accessories, and of course, don�t forget to wear your pretty smile!", Single Sleeve Style Sleeveless  India  Polyester  Casual Wear  Woven  Sleeveless Neckline Sweetheart Neck  Maxi Dress  Regular  Printed  Ankle  Closure Type Zipper,https://www.shoppersstop.com/zink-london-printed-polyester-sweetheart-neck-women-s-maxi-dress/p-A22ZINKD02515/colorChange/A22ZINKD02515_YELLOW?currentPosition=21&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
21,Mid Rise Cotton Blend Regular Fit Women's Jeans,., Single  India  Cotton Blend  Regular Waist Rise Mid Rise  Full   Jeans Wash Mid Wash Pockets 5 Pockets  Solid  Casual Wear Closure Type Zipper  Woven,https://www.shoppersstop.com/infuse-mid-rise-cotton-blend-regular-fit-women-s-jeans/p-INF002/colorChange/INF002_BLACK?currentPosition=22&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
22,Solid Regular Blended Women's Casual Wear Pants,"These pants from Fratini are a comfortable and perfect option for various occasions. Designed for a relaxed fit, the tapered silhouette is crafted in an unrestricted profile and comes with pockets. Style these pants with a top-wear of your choice for a smart and sophisticated look.", Single  India  Pants  Blend  Full   Regular  Casual Wear  Solid,https://www.shoppersstop.com/fratini-solid-regular-blended-women-s-casual-wear-pants/p-A22346BT173/colorChange/A22346BT173_BROWN?currentPosition=23&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
23,Mid Rise Cotton Blend Regular Fit Women's Jeans,., Single  India  Cotton Blend  Regular Waist Rise Mid Rise  Full   Jeans Wash Mid Wash Pockets 5 Pockets  Solid  Casual Wear Closure Type Zipper  Woven,https://www.shoppersstop.com/infuse-mid-rise-cotton-blend-regular-fit-women-s-jeans/p-INF003/colorChange/INF003_INDIGO?currentPosition=24&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
24,Solid Polyester Regular Fit Women's Work Wear Pants,Get the right am pm look in these black solid regular fit casual trousers from allen solly woman by allen solly., Single  India  Pants  Polyester  Regular  Regular  Formal Wear  Solid  Woven  Women,https://www.shoppersstop.com/allen-solly-solid-polyester-regular-fit-women-s-work-wear-pants/p-A22ASCRGF063165/colorChange/A22ASCRGF063165_BLACK?currentPosition=25&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D1&totalResultVal=18593&searchPageType=category
25,Solid Round Neck Chiffon Women's Knee Length Dress,"This dramatic solid, round-neck, full-sleeved, chiffon women's knee-length dress from Life will make you feel like you've walked straight out of a romance novel. It's vibrant and elegant, and you only need a pair of matching sandals to get that perfect outfit.", Single  India  Chiffon  Casual Wear  Woven  Full  Neckline Round Neck  Knee  Dress  A Line  Solid  Knee  Closure Type Drawstring,https://www.shoppersstop.com/life-solid-round-neck-chiffon-women-s-knee-length-dress/p-A22507BLUSHDR06/colorChange/A22507BLUSHDR06_PINK?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
26,Printed Round Neck Cotton Women's Fit And Flare Dress,., India  Cotton  Casual Wear  Half  Neckline Round Neck  Dress  Printed  Knee  Silouhette  And Flare,https://www.shoppersstop.com/sera-printed-round-neck-cotton-women-s-fit-and-flare-dress/p-S21SERALA2890NA/colorChange/S21SERALA2890NA_NAVY_BLUE?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
27,Embroidered Rayon Round Neck Women's Top,Spruce up your wardrobe with this high-quality embroidered top from the house of Infuse. Simple errands are a breeze when you pair this off-white piece with some dark denim jeans and flats., Tops  India  Rayon  Woven  3/4   Casual Wear  Embroidered Neckline Round Neck  Regular Wash Machine Wash,https://www.shoppersstop.com/infuse-embroidered-rayon-round-neck-women-s-top/p-S22INTU374/colorChange/S22INTU374_BLACK?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
28,Mid Rise Cotton Relaxed Fit Women's Jeans,., Single  India  Cotton  Relaxed Waist Rise Mid Rise  Ankle   Jeans Wash Mid Wash Pockets 5 Pockets  Solid  Casual Wear Closure Type Zipper  Woven,https://www.shoppersstop.com/infuse-mid-rise-cotton-relaxed-fit-women-s-jeans/p-INFLWD-15/colorChange/INFLWD-15_INDIGO?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
29,Solid Crepe Mandarin Womens Casual Wear Shirt,Women Navy Crepe Sheer Comfort Shirt, India  Full   Woven  Crepe  Casual Wear Neckline Mandarin  Solid Silouhette Regular Closure Type Button  Regular  Women,https://www.shoppersstop.com/marie-claire-solid-crepe-mandarin-womens-casual-wear-shirt/p-S22MC10056NAVY/colorChange/S22MC10056NAVY_NAVY_BLUE?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
