,name,desc,class,link
29,Printed Cotton Drawcord Closure Men's Shorts,"Stay comfortable wearing these trendy shorts in a subtle rose tone. Crafted with soft and breathable cotton and a drawcord for the right fit, it keeps you feeling easy wearing it for long hours. Pair it with a cool cotton t-shirt for a complete look.", India  100% Cotton  Printed Closure Type Drawcord  Regular Stretch Non-Stretch  Casual Wear Collection Casual Wear  Unisex,https://www.shoppersstop.com/life-printed-cotton-drawcord-closure-men-s-shorts/p-SS22LFSHTRO03/colorChange/SS22LFSHTRO03_ROSE?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
30,Checks Cotton Stretch Slim Fit Men's Trousers,., India  Cotton Stretch  Checks  Slim  Full   Pack of 1  Casual Wear Collar Regular,https://www.shoppersstop.com/fratini-checks-cotton-stretch-slim-fit-men-s-trousers/p-SS21MFCH06BG/colorChange/SS21MFCH06BG_BEIGE?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
31,Structured Cotton Blend Regular Fit Men's T-Shirt,"Simple yet incredibly designed, the Structured Cotton Blend Regular  Men's T-Shirt is sure to make heads turn wherever you go. Tailored with a polo neck and half sleeves, this structured pattern blue melange men’s t-shirt is designed for a laidback look. Crafted from cotton blend with a comfy regular fit, this men’s t-shirt is sure to keep you cool and dry all through the wear. Team this t-shirt for men with a rugged jeans, black sneakers and a pair of shades.", India Collar NA  Half   Regular Neckline Polo  Structured  Cotton Blend  Pack of 1  Casual Wear,https://www.shoppersstop.com/fratini-structured-cotton-blend-regular-fit-men-s-t-shirt/p-S21831JAQPO18BL/colorChange/S21831JAQPO18BL_BLUE_MELANGE?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
32,Solid Cotton Blend Slim Fit Mens Work Wear Shirt,"Add the, trendiest Gunmetal Grey which has a spread collar, a full button placket, long sleeves which can be rolled up, to your wardrobe. To get a more stylish look with this shirt, you can pair it with black chinos and a pair of classic black shoes", Shirts Neckline Collared  Woven  India  Cotton Blend Collar Regular Collar  Full   Slim  Solid  Single  Work Wear ,https://www.shoppersstop.com/javinishka-solid-cotton-blend-slim-fit-mens-work-wear-shirt/p-A22CSS07/colorChange/A22CSS07_GREY?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
33,Checks Cotton Slim Fit Men's Casual Shirt,., Woven  Shirts  India  Cotton Collar Regular Collar  Full   Slim  Checks  Single  Casual Wear,https://www.shoppersstop.com/united-colors-of-benetton-checks-cotton-slim-fit-men-s-casual-shirt/p-23P5BS51U008903/colorChange/23P5BS51U008903_RED?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
34,Solid Cotton Nylon Slim Fit Mens Trousers,"Upgrade your style quotient in these solid slim fit men's trousers by Fratini. Made from knit fabric, these pants give ultimate 360-degree stretch, freedom of movement and daylong comfort. These contemporary fit olive pants come in elasticated waistband and utility pockets. Pair it with a navy blue floral print casual shirt.", India  Cotton Nylon  Solid  Slim  Full   Single  Casual Wear Collar Cut Away  Mens,https://www.shoppersstop.com/fratini-solid-cotton-nylon-slim-fit-mens-trousers/p-S225PCNSX1RAOL/colorChange/S225PCNSX1RAOL_OLIVE?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
35,Striped Cotton Blend Regular Fit Men's T-Shirt,"Flaunt your unique sense of style as you opt for this stylish Striped Cotton Blend Regular  Men's T-Shirt. If you are looking to buy mustard men’s t-shirt online, pick this striped pattern t-shirt that features a polo neck and half sleeves. Crafted from breathable cotton blend material, this men’s t-shirt features a comfy regular fit. Match this men’s t-shirt with a pair of shorts and classy sneakers.", India Collar Regular  Half   Regular Neckline Polo  Stripes  Cotton Blend  Pack of 1  Casual Wear,https://www.shoppersstop.com/stop-striped-cotton-blend-regular-fit-men-s-t-shirt/p-S21187STRPOL05B/colorChange/S21187STRPOL05B_MUSTARD?currentPosition=11&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
36,Dobby Cotton Blend Men's Casual Kurta,"A perfect blend of fashion and ethnicity, the Bandeya Dobby Cotton Blend Men's Casual Kurta is a must-have for your wardrobe. Olive in colour, this kurta for men is designed in an attractive dobby pattern. The cotton blend material along with regular fit promises ease of wear all through the day. Club it with a pair of contrast-coloured dhoti pants and kolhapuri chappals.", India Category Kurta  Cotton Blend  Casual Wear  Printed  Regular,https://www.shoppersstop.com/bandeya-dobby-cotton-blend-men-s-casual-kurta/p-S21MEKUFAGMDOBY/colorChange/S21MEKUFAGMDOBY_GREY?currentPosition=12&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
37,Solid Cotton Blend Regular Fit Men's Casual Shirt,., Knit  Shirts  India  Cotton Blend Collar Spread Collar  Half   Regular  Solid  Single  Casual Wear Neckline Collared,https://www.shoppersstop.com/riag-solid-cotton-blend-regular-fit-men-s-casual-shirt/p-S23RIDBHSHPRTPL/colorChange/S23RIDBHSHPRTPL_GREEN?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
38,Stripes Cotton Blend Regular Fit Men's T-Shirt,"When you need some new tees, opt for this in-style T-shirt made by Life. A fashionable weekend outfit starts with this striped tee matched with chinos and your favorite pair of sunglasses to cast an effortlessly cool image.", India  Half   Regular  Stripes  Cotton Blend Collar Regular Collar  Mens,https://www.shoppersstop.com/stop-stripes-cotton-blend-regular-fit-men-s-t-shirt/p-S22STSTRPL103/colorChange/S22STSTRPL103_ORANGE?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D12&totalResultVal=24600&searchPageType=category
